1 About IN 20 CD null null 0
579 in IN front NN levels NNS 1
579 of IN the DT front NN 0
579 with IN a DT building NN 0
581 of IN a DT view NN 0
581 with IN two CD room NN 0
582 on IN the DT null null 1
583 at IN the DT window NN 1
584 inside IN photograph NN null null 0
584 of IN a DT photograph NN 0
584 with IN a DT room NN 0
587 with IN a DT armchairs NNS 0
587 on IN the DT table NN 1
587 at IN the DT left NN 1
589 on IN each DT pot NN 1
589 of IN the DT side NN 0
590 in IN front NN flags NNS 1
591 in IN the DT sky NN 1
592 of IN a DT view NN 0
592 with IN stairs NNS null null 0
592 of IN a DT view NN 0
592 on IN the DT floor NN 1
592 in IN the DT windows NNS 1
593 of IN the DT entrance NN 0
594 on IN the DT houses NNS 1
595 in IN the DT sky NN 1
596 of IN a DT view NN 0
596 with IN white JJ room NN 0
596 on IN it PRP lamp NN 1
598 in IN front NN street NN 1
598 of IN the DT front NN 0
599 of IN glass NN made VBN 0
600 in IN the DT pool NN 1
